id,소속원문,업체명,기호,업체구분,인센티브,전달마커,소통채널,웹활용,직접접수,접수대행,유선접수전달,유선개통전달,무선개통전달,회신전달,계정수,대표아이디,연락처,상태,비고
18,■■김용민(장나리)○,김용민(장나리)○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rrladydals,,활성,
19,■■넷퍼블릭○,넷퍼블릭○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,sptvjqmfflr,,활성,
20,■■뉴폰○,뉴폰○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,sbvhs,,활성,
21,■■다연컴퍼니○,다연컴퍼니○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ekduszjavjsl,,활성,
22,■■다온모바일○,다온모바일○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ekdhsahqkdlf,,활성,
23,■■더베이스●,더베이스,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,2,ejqpdltmwlwja,,활성,
24,■■마젤●,마젤,■■,판매점,N,?,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,akwpf,,활성,
25,■■바른드림○,바른드림○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qkfmsemfla,,활성,
26,■■박성언(이은호_직원)○,박성언(이은호_직원)○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qkrtjddjs,,활성,
27,■■보라네트워크(영웅)○,보라네트워크(영웅)○,■■,판매점,N,O,카카오톡채널,Y,N,Y,Y,Y,Y,Y,2,duddnd,010-4549-6840,활성,
28,■■삼은정보○,삼은정보○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tkadmswjdqh,,활성,
29,■■성지마블○,성지마블○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tjdwlakqmf,,활성,
30,■■솔솔○,솔솔○,■■,판매점,N,O,카카오톡채널,Y,N,Y,Y,Y,Y,Y,1,thfthf,010-9449-9448,활성,
31,■■신사임당○,신사임당○,■■,판매점,N,O,카카오톡채널,Y,N,Y,Y,Y,Y,Y,1,tlstkdlaekd,,활성,
32,■■신에이치엠○,신에이치엠○,■■,판매점,N,O,카카오톡채널,Y,N,Y,Y,Y,Y,Y,15,RHKRGHDUD,,활성,
33,■■에이앤비네트웍스○,에이앤비네트웍스○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dpdldosql,,활성,
34,■■옆커폰○,옆커폰○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,112,rndnjfwja,010-8759-6569,활성,
35,■■오필준○,오필준○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dhvlfwns,,활성,
36,■■와이즈모바일●,와이즈모바일,■■,판매점,N,O,카카오톡채널,Y,N,Y,Y,Y,Y,Y,1,dhkdlwm,,활성,
37,■■우리집렌탈○,우리집렌탈○,■■,판매점,N,O,카카오톡채널,Y,N,Y,Y,Y,Y,Y,2,poi098765,,활성,
38,■■이은호(나한민)○,이은호(나한민)○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dlwlgus,,활성,
39,■■이의택(이은호_직원)○,이의택(이은호_직원)○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dldmlxor,,활성,
40,■■제이드○,제이드○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,2,wpdlem1,,활성,
41,■■제이에스모바일(설탕텔레콤)○,제이에스모바일(설탕텔레콤)○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wpdldptm,,활성,
42,■■주한통신○,주한통신○,■■,판매점,N,X,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wngksxhdtls,010-9109-3851,활성,
43,■■직폰○,직폰○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,3,wlrvhs4,,활성,
44,■■최옥현○,최옥현○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,chldhrgus,,활성,
45,■■코스모스통신○,코스모스통신○,■■,판매점,N,O,카카오톡채널,Y,N,Y,Y,Y,Y,Y,1,zhtmahtm,010-6610-1581,활성,
46,■■통신의신○,통신의신○,■■,판매점,N,O,카카오톡채널,Y,N,Y,Y,Y,Y,Y,1,xhdtlsdmltls,,활성,
47,■■폰샵○,폰샵○,■■,판매점,N,O,카카오톡채널,Y,N,Y,Y,Y,Y,Y,1,vhstiq,,활성,
48,■■휴먼네트웍스○,휴먼네트웍스○,■■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,2,gbajs2,,활성,
49,■강동후니모바일○,강동후니모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rkdehdgnsl,,활성,
50,■고재일○,고재일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rhwodlf,,활성,
51,■골드라인○,골드라인○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rhfemfkdls,,활성,
52,■광통신○,광통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rhkdxhdtls91,,활성,
53,■구름모바일○,구름모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rnfmaahqkdlf,,활성,
54,■굿뉴스○,굿뉴스○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rntsbtm,,활성,
55,■규봉모바일○,규봉모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rbqhd,,활성,
56,■그린비텔레콤 중동점○,그린비텔레콤 중동점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rmflsql,,활성,
57,■금오모바일○,금오모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rmadhahqkdlf,,활성,
58,■금호통신○,금호통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rmaghxhdtls,,활성,
59,■길잡스○,길잡스○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rlfwkqtm,,활성,
60,■김성완○,김성완○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rlatjddhks,,활성,
61,■김용균○,김용균○,■,판매점,N,?,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rladydrbs,,활성,
62,■김유리○,김유리○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rladbfl,,활성,
63,■노마진통신○,노마진통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,shakwls,,활성,
64,■누네띠네중고폰○,누네띠네중고폰○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,cjsdksahqkdlf,,활성,
65,■다둥이통신○,다둥이통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ekenddl,,활성,
66,■다미통신○,다미통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ekalxhdtls,,활성,
67,■다쏜다 다산점○,다쏜다 다산점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ektkswja,,활성,
68,■다쏜다 흥덕점○,다쏜다 흥덕점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ekThsek,,활성,
69,■대박통신둔촌점○,대박통신둔촌점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,eoqkrxhdtls,,활성,
70,■대박폰요기요○,대박폰요기요○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,eoqkrvhsdyrldy,010-8776-0000,활성,
71,■더마니드림○,더마니드림○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ejakslemfla,,활성,
72,■더젬○,더젬○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ejwpa,,활성,
73,■더폰컴퍼니○,더폰컴퍼니○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ejvhszjavjsl,,활성,
74,■도매폰센터용죽점○,도매폰센터용죽점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ehaovhstpsxj,,활성,
75,■동행모바일○,동행모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ehdgodahqkdlf,010-7355-7365,활성,
76,■두아빠통신○,두아빠통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,endkQK,010-7584-2591,활성,
77,■둥이통신○,둥이통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,enddlxhdtls,010-8833-5423,활성,
78,■드림마케팅○,드림마케팅○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,emflaakzpxld,,활성,
79,■디엠씨○,디엠씨○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,eldpaTl,010-2403-0010,활성,
80,■디텍○,디텍○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,elxpr,010-2989-7727,활성,
81,■디프클린○,디프클린○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,elvmzlffls,010-8411-2494,활성,
82,■딸부자통신○,딸부자통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,EKfqnwk,010-9926-1088,활성,
83,■랜드씨앤씨○,랜드씨앤씨○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,fpsem,,활성,
84,■럭키텔레콤○,럭키텔레콤○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,fjrzlxpffpzha,010-9491-9647,활성,
85,■리더스모바일○,리더스모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,flejtmahqkdlf,010-6665-3578,활성,
86,■마루모바일○,마루모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,akfn,,활성,
87,■마이너이사○,마이너이사○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,akdlsjdltk,,활성,
88,■명산모바일○,명산모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,audtksahqkdlf,,활성,
89,■명품텔레콤○,명품텔레콤○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,audvna,010-5802-5024,활성,
90,■모두하우스○,모두하우스○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gkxodid,,활성,
91,■모바일MZ○,모바일MZ○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ahqkdlfmz,,활성,
92,■모바일플레너○,모바일플레너○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vmffpsj,,활성,
93,■문투넷○,문투넷○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ansxnspt,010-4157-9903,활성,
94,■미래정보통신○,미래정보통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,alfowjdqh,,활성,
95,■미얀골○,미얀골○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,aldisrhf,,활성,
96,■바른모바일○,바른모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qkfmsahqkdlf,010-4894-7790,활성,
97,■박형준○,박형준○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qkrgudwns,,활성,
98,■보거스컴퍼니○,보거스컴퍼니○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qhrjtmzjavjsl,,활성,
99,■보담모바일○,보담모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qhekaahqkdlf,,활성,
100,■보리모바일○,보리모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qhflahqkdlf,010-5911-8227,활성,
101,■봄봄○,봄봄○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qhaqha,,활성,
102,■부엉폰 다산점○,부엉폰 다산점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qndjdvhsektks,,활성,
103,■블루스카이○,블루스카이○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qmffntmzkdl,010-4490-5555,활성,
104,■비케이컴퍼니○,비케이컴퍼니○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,whrudghk,,활성,
105,■뽑기○,뽑기○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qhqrl,,활성,
106,■서아컴퍼니○,서아컴퍼니○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tjdkzjavjsl,,활성,
107,■서아텔레콤○,서아텔레콤○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tjdkxpffpzha,,활성,
108,■서연통신○,서연통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tjdusxhdtls,,활성,
109,■서정철○,서정철○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tjwjdcjf,010-8480-7531,활성,
110,■성공폰○,성공폰○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tjdrhdvhs,,활성,
111,■세계로모바일○,세계로모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tprpfh,,활성,
112,■세정텔레콤○,세정텔레콤○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tpwjdxpffpzha,,활성,
113,■솔모바일○,솔모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,thfahqkdlf,,활성,
114,■송원재○,송원재○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,thddnjswo,010-6478-4189,활성,
115,■송원호○,송원호○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,thddnjsgh,,활성,
116,■쇼예산○,쇼예산○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,2,qkdeovy,,활성,
117,■수프라자○,수프라자○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tnvmfkwk,010-6780-1010,활성,
118,■순정정보통신○,순정정보통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tnswjd,,활성,
119,■스마트세이브(근검절약컴퍼니),스마트세이브(근검절약컴퍼니),■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rlaehdtls,010-4612-6090,활성,
120,■스마트텔레콤○,스마트텔레콤○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dhwngks,,활성,
121,■스마트통신○,스마트통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tmakxmxhdtls,010-7478-5523,활성,
122,■스마트패키지 ADT 공식대리점○,스마트패키지 ADT 공식대리점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tmakxmvozlwl,,활성,
123,■스타○,스타○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tmxk,,활성,
124,■스타링크○,스타링크○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tmxkfldzm,010-9903-5493,활성,
125,■스피드작전점○,스피드작전점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tmvlemwkrwjs,010-6290-6498,활성,
126,■신민수○,신민수○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tlsalstn,010-5446-9802,활성,
127,■신아이티정보통신○,신아이티정보통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tlsdkdlxl,,활성,
128,■신웅식○,신웅식○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tlsdndtlr,,활성,
129,■아마존○,아마존○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dkakwhs,,활성,
130,■아프리카중고폰○,아프리카중고폰○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dkvmflzk,,활성,
131,■안테나아이티○,안테나아이티○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,2,dksxpsk,,활성,
132,■알뜰폰문의센터○,알뜰폰문의센터○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dkfEmfvhsans,,활성,
133,■알뜰폰패밀리세종점○,알뜰폰패밀리세종점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dkfEMftpwhd,,활성,
134,■양정민○,양정민○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,didwjdals,,활성,
135,■에드커넥션○,에드커넥션○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,doemzjsprtus,,활성,
136,■에스엠포에버○,에스엠포에버○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dptmdpa,,활성,
137,■에스와이정보통신(리즈모바일)○,에스와이정보통신(리즈모바일)○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,flwmahqkdlf,010-2001-0022,활성,
138,■에이치모바일○,에이치모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dpdlclahqkdlf,,활성,
139,■에이치엘마켓○,에이치엘마켓○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dpdlcldpfakzpt,,활성,
140,■엔씨통신마북○,엔씨통신마북○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dpsTLxhdtls,,활성,
141,■엠비통신○,엠비통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dpaqlxhdtls,,활성,
142,■엠에스모바일○,엠에스모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ms,,활성,
143,■엠티엠인터내셔널○,엠티엠인터내셔널○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dpaxldpa,,활성,
144,■영모바일○,영모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dudahqkdlf,,활성,
145,■영미전자○,영미전자○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dudalwjswk,,활성,
146,■영종국제통신○,영종국제통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dudwhdrnrwp,,활성,
147,■영짱/YOUNG○,영짱/YOUNG○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dudWKd,,활성,
148,■예쓰통신○,예쓰통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dPTmxhdtls,,활성,
149,■옐로우빈○,옐로우빈○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dpffhdn,,활성,
150,■올플렉스○,올플렉스○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dhfvmffprtm,,활성,
151,■외대통신○,외대통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dhleoxhdtls,010-9400-3690,활성,
152,■워터웨이브○,워터웨이브○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dnjxjdnpdlqm,,활성,
153,■원모바일○,원모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dnjsahqkdlf,,활성,
154,■웨이표○,웨이표○,■,판매점,N,?,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dnpdlvy,,활성,
155,■위브네트웍스○,위브네트웍스○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dnlqm,,활성,
156,■윈윈커뮤니티○,윈윈커뮤니티○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dnlsdnlszjab,,활성,
157,■유경석○,유경석○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dbrudtjr,,활성,
158,■유나통신○,유나통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dbskxhdtls,,활성,
159,■유디통신○,유디통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dbelxhdtls,,활성,
160,■윤모바일○,윤모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dbsahqkdlf,,활성,
161,■윤텔레콤○,윤텔레콤○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dbsxpffpzha,,활성,
162,■은성통신○,은성통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dmstjd,,활성,
163,■이동연○,이동연○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dlehddus,,활성,
164,■이승일(사과나무)○,이승일(사과나무)○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dltmddlf,,활성,
165,■이안모바일○,이안모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dldksahqkdlf,,활성,
166,■이주훈○,이주훈○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dlwngns,,활성,
167,■이찬호○,이찬호○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dlcksgh,,활성,
168,■이티컴퍼니○,이티컴퍼니○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,etcompany,,활성,
169,■이형덕○,이형덕○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dlgudejr,,활성,
170,■인천 휴대폰성지 도지폰○,인천 휴대폰성지 도지폰○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ehwlvhs,,활성,
171,■인터넷월드○,인터넷월드○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dlsxjsptdnjfem,,활성,
172,■인터뱅크○,인터뱅크○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dlsxjqodzm,,활성,
173,■일이팔○,일이팔○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dlfdlvkf,,활성,
174,■장군폰○,장군폰○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wkdrnsvhs,,활성,
175,■정결한청소○,정결한청소○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wjdrufgks,,활성,
176,■정상텔레콤○,정상텔레콤○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rkddlsrnjs,,활성,
177,■정직한모바일○,정직한모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wjdwlrgks,,활성,
178,■정향숙○,정향숙○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wjdgidtnr,,활성,
179,■제이알모바일○,제이알모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wpdldkf,,활성,
180,■제이엠○,제이엠○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dhkdlwpdltl,,활성,
181,■제이제이통신○,제이제이통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wpdlwpdl,,활성,
182,■제이투모바일○,제이투모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wpdlxnahqkdlf,,활성,
183,■조선컴퍼니○,조선컴퍼니○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,whtjszjavjsl,,활성,
184,■주노텔레콤○,주노텔레콤○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wnshxpffpzha,,활성,
185,■지교정릉○,지교정릉○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wlrywjdfmd,,활성,
186,■지에스지 주식회사○,지에스지 주식회사○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,wldptmwl,,활성,
187,■착한휴대폰○,착한휴대폰○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ckrgksgbeovhs,,활성,
188,■청년모바일○,청년모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,cjdsusahqkdlf,,활성,
189,■청담정보통신○,청담정보통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,cjdekawjdqh,,활성,
190,■청아모바일○,청아모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,cjddk,,활성,
191,■총각네텔레콤○,총각네텔레콤○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,chdrkrspxpffp,,활성,
